UID,exp_2020,exp_2030,exp_2040,exp_2050,exp_2060,exp_2070,exp_2080,exp_2090,exp_2100
15,6.414748275792222,6.644352841873929,7.264183736816577,9.449285554662293,9.495466299172069,10.366218497831815,10.408206343445416,11.304991891505727,12.056207402876886
16,33.295871524583234,33.00511532879848,34.58537852787789,36.92004839020855,36.73443669846714,36.24419770496834,39.70628966981842,41.152318488089804,40.71713973165159
17,6.679008158756993,7.828791755291434,6.450769326925348,10.364050816577244,12.058305678641574,14.5844474918898,11.977764580309662,20.807581194323497,18.492770219520047
18,7.988577015892156,7.037492344900111,8.191498383334997,11.718734617338857,14.987266414312675,14.61109463235673,15.069045630616916,16.562360559744747,17.813398112944167
19,2.6090564022290534,3.495461948266191,3.8798191125803485,4.7568952716573225,6.348588663026257,5.951568988515453,6.704530790785256,10.219972171073653,8.420586258643189
20,0.33114212210437566,0.3235712765851354,0.4103909398919564,0.6804310910506824,0.6368035572503128,1.0307146046881468,1.0676557553033013,1.2049961488906313,1.496315263243442
21,13.645585130920685,22.816171496809524,22.88091704926391,28.383088126259157,31.086739863156083,30.089929492202593,28.097197209480903,31.73062441082549,31.674647539466946
22,9.632780541999049,21.32172403125667,21.03971810207999,22.112572463062317,29.96962249859004,25.820371021081833,26.63409606488986,28.52681431258917,30.170156350713153
23,0.5325783317001772,0.6334028359647202,0.8736137048855911,1.1714759005344415,1.1600662203868166,1.777301558224488,1.674954617104646,2.061572768410882,1.6523195478647257
24,0.12569402287050918,0.14104597733519458,0.1991266722660046,0.2526398733617796,0.29129377421825897,0.4114093286845469,0.5039798073691741,0.5536517326813983,0.5945253453707934
25,1.9815491799985439,2.3059407847682385,2.5724980383950546,3.0828827060647783,3.6452184089060786,3.479753552523063,4.349881979942496,5.067851624224726,4.710344247930152
26,4.440427243085248,5.681671830135462,6.239999148093312,6.697307233268674,8.844759291093979,8.171258641142561,7.637797948772485,8.741743709276054,9.257671778611131
27,5.617910606576833,9.329588262987306,12.806754447296845,13.2427888433127,19.306074165554822,20.214938928164706,18.61627986068752,19.095257228365398,21.960407658709038
28,2.922676363467632,4.806826362502692,5.425717000869442,8.605254637944725,12.830717812673821,13.921114492788883,14.401475703941108,18.342210464953716,19.859109176970072
29,3.6256487125807313,5.677246748862737,5.76091212075789,9.773940253324785,13.061341141492722,14.633014520558328,15.446345926157738,18.31830069608868,19.823785163105534
30,3.2511768388583087,3.9315809373924777,4.23975554604184,5.746304798707942,6.425468731363269,6.770472091812925,6.350448964648662,7.5622865924672436,7.98430791891515
31,0.05339402611690032,0.06941224488521174,0.11359417024236192,0.17723317223396995,0.15101336878772614,0.21359557686041541,0.31141317249645983,0.35030343323105245,0.5424785392753744
32,0.00455551721460052,0.00745031002948426,0.019307442665446477,0.025547742378017442,0.016523109996209477,0.03324326408801106,0.05894963888418618,0.05734544124608528,0.16034077998132096
